2016-11-20 18:29:01 - PHP Warning:  Cannot modify header information - headers already sent by (output started at W:\domains\trysi\admin\index.php:80) in W:\domains\trysi\system\library\response.php on line 12
2016-11-20 18:29:25 - PHP Warning:  array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #2 is not an array in W:\domains\trysi\admin\controller\module\pavcarousel.php on line 105
2016-11-20 18:29:25 - PHP Warning:  array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #2 is not an array in W:\domains\trysi\admin\controller\module\pavcarousel.php on line 105
2016-11-20 18:29:42 - PHP Warning:  array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #2 is not an array in W:\domains\trysi\admin\controller\module\pavcarousel.php on line 105
2016-11-20 18:29:42 - PHP Warning:  array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #2 is not an array in W:\domains\trysi\admin\controller\module\pavcarousel.php on line 105
2016-11-20 18:29:46 - PHP Warning:  array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #2 is not an array in W:\domains\trysi\admin\controller\module\pavcarousel.php on line 105
2016-11-20 18:29:49 - PHP Warning:  array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #2 is not an array in W:\domains\trysi\admin\controller\module\pavcarousel.php on line 105
2016-11-20 18:43:41 - PHP Notice:  Undefined index: pavreassurances in W:\domains\trysi\admin\controller\module\pavreassurance.php on line 46
2016-11-20 18:43:41 - PHP Warning:  Invalid argument supplied for foreach() in W:\domains\trysi\admin\controller\module\pavreassurance.php on line 46
2016-11-20 18:43:41 - PHP Warning:  Cannot modify header information - headers already sent by (output started at W:\domains\trysi\admin\index.php:80) in W:\domains\trysi\system\library\response.php on line 12
2016-11-20 18:49:30 - PHP Warning:  array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #1 is not an array in W:\domains\trysi\admin\controller\module\pavtestimonial.php on line 96
2016-11-20 18:49:30 - PHP Warning:  Invalid argument supplied for foreach() in W:\domains\trysi\admin\view\template\module\pavtestimonial.tpl on line 113
2016-11-20 18:49:30 - PHP Warning:  Invalid argument supplied for foreach() in W:\domains\trysi\admin\view\template\module\pavtestimonial.tpl on line 123
2016-11-20 18:49:30 - PHP Warning:  Invalid argument supplied for foreach() in W:\domains\trysi\admin\view\template\module\pavtestimonial.tpl on line 272
2016-11-20 18:49:30 - PHP Warning:  array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #1 is not an array in W:\domains\trysi\admin\controller\module\pavtestimonial.php on line 96
2016-11-20 18:49:30 - PHP Warning:  Invalid argument supplied for foreach() in W:\domains\trysi\admin\view\template\module\pavtestimonial.tpl on line 113
